filename,noise_type_ref,classifier_primary_noise,classifier_confidence,classifier_correct,dominant_frequency_hz
04-040920-02_vehicle_1.wav,car,airplane,0.528,False,0.0
04-040920-02_vehicle_2.wav,car,generator,0.437,False,23.8
04-040920-03_vehicle_noise_1.wav,car,airplane,0.404,False,23.8
04-061218-25_vehicle_noise_1.wav,car,car,0.465,True,23.8
061220-24_airplane_01.wav,airplane,car,0.461,False,47.5
090224-09_generator_01.wav,generator,generator,0.426,True,0.0
1989-06_airplane_01.wav,airplane,car,0.501,False,0.0
1989-08_airplane_01.wav,airplane,airplane,0.495,True,0.0
1989-08_airplane_02.wav,airplane,airplane,0.535,True,0.0
1989-08_airplane_03.wav,airplane,car,0.443,False,0.0
2000-23_background_and_vehicle_noise_2.wav,car,car,0.48,True,0.0
2000-23_background_noise_1.wav,other,generator,0.45,False,0.0
2000-23_background_vehicle_noise.wav,car,car,0.478,True,0.0
2000-23_vehicle_noise_1.wav,car,car,0.476,True,0.0
2000-23_vehicle_noise_2.wav,car,car,0.499,True,0.0
2000-23_vehicle_noise_3.wav,car,car,0.492,True,0.0
2000-23_vehicle_noise_4.wav,car,car,0.452,True,0.0
2000-24_generator_noise_1.wav,generator,generator,0.46,True,0.0
2000-24_generator_noise_2.wav,generator,generator,0.468,True,0.0
2000-24_generator_noise_3.wav,generator,car,0.542,False,0.0
2000-24_generator_noise_4.wav,generator,generator,0.433,True,0.0
2000-24_vehicle_and_generator_noise_1.wav,car,generator,0.435,False,23.8
2000-24_vehicle_noise_1.wav,car,car,0.437,True,0.0
2000-24_vehicle_noise_2.wav,car,generator,0.429,False,23.8
2000-27_airplane_01.wav,airplane,airplane,0.495,True,71.3
2000-3_airplane_01.wav,airplane,car,0.481,False,0.0
2000-3_airplane_02.wav,airplane,car,0.449,False,0.0
2000-3_airplane_03.wav,airplane,car,0.428,False,0.0
2000-3_vehicle_01.wav,car,car,0.466,True,0.0
2000-4 _airplane_01.wav,airplane,airplane,0.529,True,0.0
2000-4_airplane_02.wav,airplane,airplane,0.519,True,71.3
2002-2_airplane_01.wav,airplane,car,0.43,False,0.0
2003-7_airplane_01.wav,airplane,airplane,0.525,True,0.0
99-22A_airplane_01.wav,airplane,car,0.405,False,71.3
99-24_airplane_01.wav,airplane,airplane,0.459,True,0.0
99-37_airplane_02.wav,airplane,car,0.464,False,0.0
99-37_airplane_and_vehicle_01.wav,airplane,car,0.43,False,71.3
99-37_vehicle_01.wav,car,generator,0.456,False,0.0
99-45_airplane_01.wav,airplane,airplane,0.49,True,71.3
99-45_airplane_03.wav,airplane,airplane,0.487,True,71.3
99-45_vehicle_01.wav,car,airplane,0.516,False,0.0
99-45_vehicle_02.wav,car,airplane,0.543,False,0.0
J86-1_airplane_01.wav,airplane,car,0.413,False,47.5
J87-27_airplane_01.wav,airplane,airplane,0.511,True,71.3
