call_id,filename,animal_id,location,date,start_sec,end_sec,noise_type_ref,species
04-040920-02_vehicle_1,04-040920-02_vehicle_1.wav,04-040920-02,,,0.0,57.53,vehicle,African bush elephant
04-040920-02_vehicle_2,04-040920-02_vehicle_2.wav,04-040920-02,,,0.0,51.474,vehicle,African bush elephant
04-040920-03_vehicle_noise_1,04-040920-03_vehicle_noise_1.wav,04-040920-03,,,0.0,168.979,vehicle,African bush elephant
04-061218-25_vehicle_noise_1,04-061218-25_vehicle_noise_1.wav,04-061218-25,,,0.0,152.893,vehicle,African bush elephant
061220-24_airplane_01,061220-24_airplane_01.wav,061220-24,,,0.0,45.833,airplane,African bush elephant
090224-09_generator_01,090224-09_generator_01.wav,090224-09,,,0.0,411.058,generator,African bush elephant
1989-06_airplane_01,1989-06_airplane_01.wav,1989-06,,,0.0,83.038,airplane,African bush elephant
1989-08_airplane_01,1989-08_airplane_01.wav,1989-08,,,0.0,115.023,airplane,African bush elephant
1989-08_airplane_02,1989-08_airplane_02.wav,1989-08,,,0.0,44.432,airplane,African bush elephant
1989-08_airplane_03,1989-08_airplane_03.wav,1989-08,,,0.0,192.056,airplane,African bush elephant
2000-23_background_and_vehicle_noise_2,2000-23_background_and_vehicle_noise_2.wav,2000-23,,,0.0,66.255,vehicle,African bush elephant
2000-23_background_noise_1,2000-23_background_noise_1.wav,2000-23,,,0.0,38.747,background,African bush elephant
2000-23_background_vehicle_noise,2000-23_background_vehicle_noise.wav,2000-23,,,0.0,45.838,vehicle,African bush elephant
2000-23_vehicle_noise_1,2000-23_vehicle_noise_1.wav,2000-23,,,0.0,210.502,vehicle,African bush elephant
2000-23_vehicle_noise_2,2000-23_vehicle_noise_2.wav,2000-23,,,0.0,21.552,vehicle,African bush elephant
2000-23_vehicle_noise_3,2000-23_vehicle_noise_3.wav,2000-23,,,0.0,37.142,vehicle,African bush elephant
2000-23_vehicle_noise_4,2000-23_vehicle_noise_4.wav,2000-23,,,0.0,72.087,vehicle,African bush elephant
2000-24_generator_noise_1,2000-24_generator_noise_1.wav,2000-24,,,0.0,101.235,generator,African bush elephant
2000-24_generator_noise_2,2000-24_generator_noise_2.wav,2000-24,,,0.0,369.59,generator,African bush elephant
2000-24_generator_noise_3,2000-24_generator_noise_3.wav,2000-24,,,0.0,41.816,generator,African bush elephant
2000-24_generator_noise_4,2000-24_generator_noise_4.wav,2000-24,,,0.0,230.662,generator,African bush elephant
2000-24_vehicle_and_generator_noise_1,2000-24_vehicle_and_generator_noise_1.wav,2000-24,,,0.0,107.642,vehicle+generator,African bush elephant
2000-24_vehicle_noise_1,2000-24_vehicle_noise_1.wav,2000-24,,,0.0,302.702,vehicle,African bush elephant
2000-24_vehicle_noise_2,2000-24_vehicle_noise_2.wav,2000-24,,,0.0,50.756,vehicle,African bush elephant
2000-27_airplane_01,2000-27_airplane_01.wav,2000-27,,,0.0,308.157,airplane,African bush elephant
2000-3_airplane_01,2000-3_airplane_01.wav,2000-3,,,0.0,136.238,airplane,African bush elephant
2000-3_airplane_02,2000-3_airplane_02.wav,2000-3,,,0.0,66.028,airplane,African bush elephant
2000-3_airplane_03,2000-3_airplane_03.wav,2000-3,,,0.0,197.032,airplane,African bush elephant
2000-3_vehicle_01,2000-3_vehicle_01.wav,2000-3,,,0.0,145.321,vehicle,African bush elephant
2000-4 _airplane_01,2000-4 _airplane_01.wav,2000-4,,,0.0,80.827,airplane,African bush elephant
2000-4_airplane_02,2000-4_airplane_02.wav,2000-4,,,0.0,143.317,airplane,African bush elephant
2002-2_airplane_01,2002-2_airplane_01.wav,2002-2,,,0.0,207.858,airplane,African bush elephant
2003-7_airplane_01,2003-7_airplane_01.wav,2003-7,,,0.0,109.405,airplane,African bush elephant
99-22A_airplane_01,99-22A_airplane_01.wav,99-22A,,,0.0,288.332,airplane,African bush elephant
99-24_airplane_01,99-24_airplane_01.wav,99-24,,,0.0,68.98,airplane,African bush elephant
99-37_airplane_02,99-37_airplane_02.wav,99-37,,,0.0,41.129,airplane,African bush elephant
99-37_airplane_and_vehicle_01,99-37_airplane_and_vehicle_01.wav,99-37,,,0.0,229.434,airplane+vehicle,African bush elephant
99-37_vehicle_01,99-37_vehicle_01.wav,99-37,,,0.0,38.664,vehicle,African bush elephant
99-45_airplane_01,99-45_airplane_01.wav,99-45,,,0.0,239.413,airplane,African bush elephant
99-45_airplane_03,99-45_airplane_03.wav,99-45,,,0.0,262.077,airplane,African bush elephant
99-45_vehicle_01,99-45_vehicle_01.wav,99-45,,,0.0,378.943,vehicle,African bush elephant
99-45_vehicle_02,99-45_vehicle_02.wav,99-45,,,0.0,148.963,vehicle,African bush elephant
J86-1_airplane_01,J86-1_airplane_01.wav,J86-1,,,0.0,215.452,airplane,African bush elephant
J87-27_airplane_01,J87-27_airplane_01.wav,J87-27,,,0.0,97.277,airplane,African bush elephant
