file,animal_id,species,noise_type_ref,status,elapsed_s,noise_types,snr_before_db,snr_after_db,snr_improvement_db,n_calls,call_types,json_path
04-040920-02_vehicle_1.wav,04-040920-02,African bush elephant,vehicle,ok,6.82,"airplane, car, generator, wind",16.21,17.23,1.02,20,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/04-040920-02_vehicle_1.json
04-040920-02_vehicle_2.wav,04-040920-02,African bush elephant,vehicle,ok,5.34,"airplane, car, generator",10.94,12.29,1.35,15,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/04-040920-02_vehicle_2.json
04-040920-03_vehicle_noise_1.wav,04-040920-03,African bush elephant,vehicle,ok,31.92,"airplane, car, generator",7.6,9.19,1.59,148,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/04-040920-03_vehicle_noise_1.json
04-061218-25_vehicle_noise_1.wav,04-061218-25,African bush elephant,vehicle,ok,31.74,"airplane, car, generator",12.66,14.62,1.96,50,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/04-061218-25_vehicle_noise_1.json
061220-24_airplane_01.wav,061220-24,African bush elephant,airplane,ok,4.66,"airplane, car, generator, wind",8.57,20.59,12.02,20,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/061220-24_airplane_01.json
090224-09_generator_01.wav,090224-09,African bush elephant,generator,ok,84.78,"airplane, car, generator",11.18,12.07,0.89,297,"rumble, bark, unknown, cry",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/090224-09_generator_01.json
1989-06_airplane_01.wav,1989-06,African bush elephant,airplane,ok,8.88,"airplane, car, generator",13.0,16.66,3.66,26,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/1989-06_airplane_01.json
1989-08_airplane_01.wav,1989-08,African bush elephant,airplane,ok,14.48,"airplane, car, generator",13.32,12.91,-0.41,30,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/1989-08_airplane_01.json
1989-08_airplane_02.wav,1989-08,African bush elephant,airplane,ok,5.95,"airplane, car, generator",18.93,13.39,-5.54,8,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/1989-08_airplane_02.json
1989-08_airplane_03.wav,1989-08,African bush elephant,airplane,ok,43.8,"airplane, car, generator, wind",10.69,15.58,4.89,98,"rumble, bark, unknown",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/1989-08_airplane_03.json
2000-23_background_and_vehicle_noise_2.wav,2000-23,African bush elephant,vehicle,ok,8.32,"airplane, car, wind, generator, other",15.1,25.73,10.63,19,"rumble, bark",/Users/pomoika/Documents/GitHub_repo/hacksmu26/results/json/2000-23_background_and_vehicle_noise_2.json
